"ResponseId","SES","Gender","Age","Country","Race","Ethnicity","mean_pain"
"R_1je7vHqlzYf1kJz","low","5","23","4","3","1",2.38
"R_1kH0iMR5tqRO8pE","high","2","34","4","6","1",3.01
"R_1kH0iMR5tqRO8pE","low","2","34","4","6","1",2.73
"R_1kLyMlxwKXhmX3d","high","1","36","4","6","1",2.74
"R_1kLyMlxwKXhmX3d","low","1","36","4","6","1",2.67
"R_1LBZv1BC75sP20B","high","2","63","4","6","1",2.09
"R_1LBZv1BC75sP20B","low","2","63","4","6","1",1.93
"R_1mguyIYh2wvPnjv","high","","","","","",2.41428571428571
"R_1mguyIYh2wvPnjv","low","","","","","",2.64444444444444
"R_1ms11OasKXUuqTI","high","1","1985","4","6","1",2.58
"R_1ms11OasKXUuqTI","low","1","1985","4","6","1",2.58
"R_1N9vJUMm2prEohv","high","1","47","4","6","1",3.13
"R_1N9vJUMm2prEohv","low","1","47","4","6","1",3.36
"R_1OPmdioEBICfb6k","high","2","48","4","6","1",2.83
"R_1OPmdioEBICfb6k","low","2","48","4","6","1",2.91
"R_1otjRKsteXhoyuk","high","","","","","",2.86666666666667
"R_1otjRKsteXhoyuk","low","","","","","",2.5
"R_1rcC9FGcOADU6T8","high","1","32","4","3","1",2.98
"R_1rcC9FGcOADU6T8","low","1","32","4","3","1",2.99
"R_21FlEWkbljN48cS","high","1","26","4","3","1",2.69
"R_21FlEWkbljN48cS","low","1","26","4","3","1",2.37
"R_22QYSgkwKl2fl2B","high","2","50","4","6","1",2.51
"R_22QYSgkwKl2fl2B","low","2","50","4","6","1",3
"R_22WawJARS0nVfyr","high","2","32","4","6","1",3.25
"R_22WawJARS0nVfyr","low","2","32","4","6","1",3.17
"R_24JkcCIbk2G9jJe","high","2","33","4","6","1",3.43
"R_24JkcCIbk2G9jJe","low","2","33","4","6","1",2.95
"R_29gBHO2g4hG0HEd","high","1","32","4","6","1",2.64
"R_29gBHO2g4hG0HEd","low","1","32","4","6","1",2.57575757575758
"R_2ipQOd3E5l8OlPP","high","1","46","4","6","1",2.84
"R_2ipQOd3E5l8OlPP","low","1","46","4","6","1",2.87
"R_2PBxItnW4ReAjjc","high","2","29","4","6","1",2.57
"R_2PBxItnW4ReAjjc","low","2","29","4","6","1",2.51
"R_2PnVq30S0AywkYK","high","1","49","4","6","1",2.92
"R_2PnVq30S0AywkYK","low","1","49","4","6","1",2.9
"R_2rOfnn7hg4YPne9","high","1","36","4","6","1",3.14
"R_2rOfnn7hg4YPne9","low","1","36","4","6","1",2.68
"R_2SGlMbZawCxjG04","high","1","32","4","6","1",2.77
"R_2SGlMbZawCxjG04","low","1","32","4","6","1",2.28
"R_2TC9VBztrP3wUyw","high","2","59","4","6","1",2.39
"R_2TC9VBztrP3wUyw","low","2","59","4","6","1",2.49
"R_2TObuo9SOHzKNMF","high","2","41","4","6","1",2.8
"R_2TObuo9SOHzKNMF","low","2","41","4","6","1",2.64
"R_2TYm1xqthHbCPzd","high","2","30","4","6","1",2.72
"R_2TYm1xqthHbCPzd","low","2","30","4","6","1",2.84
"R_2uQauBKWAoFs6Rx","high","1","39","4","6","1",3.79
"R_2uQauBKWAoFs6Rx","low","1","39","4","6","1",3.8
"R_31QVGMDRzBcPXFS","high","1","50","4","6","1",2.79
"R_31QVGMDRzBcPXFS","low","1","50","4","6","1",2.53
"R_330Wv4RTQVDYPFC","high","2","44","4","5","1",4
"R_330Wv4RTQVDYPFC","low","2","44","4","5","1",4
"R_3eeiRiKDbhKVfDY","high","1","48","4","6","1",2.17
"R_3eeiRiKDbhKVfDY","low","1","48","4","6","1",2.35
"R_3EJQjrtaTbRGbAJ","high","1","44","4","6","1",2.88
"R_3EJQjrtaTbRGbAJ","low","1","44","4","6","1",2.29
"R_3IRg2ONSnv7DQCD","high","1","42","4","6","1",2
"R_3IRg2ONSnv7DQCD","low","1","42","4","6","1",1.83
"R_3J8dVyUqUGLDtSa","high","1","33","4","1","1",2
"R_3J8dVyUqUGLDtSa","low","1","33","4","1","1",2
"R_3k5MIEB1xR75maU","high","2","56","4","6","1",3.09
"R_3k5MIEB1xR75maU","low","2","56","4","6","1",3.37
"R_3kwdKbJyxDSE3Qn","high","1","30","4","6","1",2.49
"R_3kwdKbJyxDSE3Qn","low","1","30","4","6","1",2.5
"R_3MA8RWNHzL3Skqy","high","1","29","4","6","1",2.7
"R_3MA8RWNHzL3Skqy","low","1","29","4","6","1",2.74
"R_3NNSMB87MZknPcv","high","1","40","4","6","6",2.23
"R_3NNSMB87MZknPcv","low","1","40","4","6","6",2.49
"R_3NwvuGukiJu628u","high","2","37","4","6","1",3.37
"R_3NwvuGukiJu628u","low","2","37","4","6","1",3.46
"R_3Phnsgod8bOzgnN","high","2","30","4","6","1",1.87
"R_3Phnsgod8bOzgnN","low","2","30","4","6","1",2.11
"R_3PjIIwqqsuOKBE7","high","1","28","4","6","1",3.16
"R_3PjIIwqqsuOKBE7","low","1","28","4","6","1",3.18
"R_3qegcuy6UJ8nn7T","high","1","33","4","6","1",2.34
"R_3qegcuy6UJ8nn7T","low","1","33","4","6","1",2.33
"R_3RjACkfy5Az1rcV","high","1","32","4","6","1",2.45
"R_3RjACkfy5Az1rcV","low","1","32","4","6","1",2.34
"R_6QKaWnBm4XfcegF","high","1","37","4","6","2",2.72
"R_6QKaWnBm4XfcegF","low","1","37","4","6","2",2.8
"R_9B6zCkFCyP83uil","high","1","25","4","6","1",2.51
"R_9B6zCkFCyP83uil","low","1","25","4","6","1",2.54
"R_A0gdiriwvEpuHmh","high","2","22","4","6","1",2.34
"R_A0gdiriwvEpuHmh","low","2","22","4","6","1",2.39
"R_beIrWVOxdkZSdR7","high","1","32","4","3","4",2.58
"R_beIrWVOxdkZSdR7","low","1","32","4","3","4",2.34
"R_dbXG1cndyliDaJr","high","1","42","4","6","1",3.6
"R_dbXG1cndyliDaJr","low","1","42","4","6","1",3.39
"R_p4NhWXY3eO6P9fz","high","1","33","4","1","1",1.23
"R_p4NhWXY3eO6P9fz","low","1","33","4","1","1",1.11
"R_PtdcCLbwhKUhiQp","high","2","57","4","6","1",2.77
"R_PtdcCLbwhKUhiQp","low","2","57","4","6","1",2.74
"R_rdqnfpc0MC9I8N3","high","1","25","4","6","1",2.45
"R_rdqnfpc0MC9I8N3","low","1","25","4","6","1",2.9
"R_Rw2d5Q6Wn7yPpUl","high","1","43","4","6","5",1.48
"R_Rw2d5Q6Wn7yPpUl","low","1","43","4","6","5",1.76
"R_vPSRIFSw60M5szL","high","2","25","4","6","1",2.06
"R_vPSRIFSw60M5szL","low","2","25","4","6","1",2.54
"R_Wl0refdNAU8Nlrr","high","1","30","4","3,6","5",3.01
"R_Wl0refdNAU8Nlrr","low","1","30","4","3,6","5",2.88
"R_ykbW47Pty814VaN","high","1","30","4","3","1",2.61
"R_ykbW47Pty814VaN","low","1","30","4","3","1",2.61
"R_Z2jYsZHPy3OIMGB","high","2","46","4","6","1",2.87
"R_Z2jYsZHPy3OIMGB","low","2","46","4","6","1",2.83
