ResponseId,Gender,Age,Country,Country_6_TEXT,Race,Race_7_TEXT,Ethnicity,Ethnicity_5_TEXT,trial_names,item,values,MC_check,stim_id,SES,SES_id
R_1GJlZIuaVFQJ5Mj,1,35,4,,6,,1,,wH11MC,MC,physician,1,11,high,high_11
R_22WawJARS0nVfyr,2,32,4,,6,,1,,wH11MC,MC,physician,1,11,high,high_11
R_1ms11OasKXUuqTI,1,1985,4,,6,,1,,wH11MC,MC,physician,1,11,high,high_11
R_3RjACkfy5Az1rcV,1,32,4,,6,,1,,wH11MC,MC,physician,1,11,high,high_11
R_31QVGMDRzBcPXFS,1,50,4,,6,,1,,wH11MC,MC,physician,1,11,high,high_11
R_6QKaWnBm4XfcegF,1,37,4,,6,,2,,wH11MC,MC,physician,1,11,high,high_11
R_Wl0refdNAU8Nlrr,1,30,4,,"3,6",,5,,wH11MC,MC,physician,1,11,high,high_11
R_3NNSMB87MZknPcv,1,40,4,,6,,6,,wH11MC,MC,physician,1,11,high,high_11
R_2rOfnn7hg4YPne9,1,36,4,,6,,1,,wH11MC,MC,physician,1,11,high,high_11
R_1otjRKsteXhoyuk,,,,,,,,,wH11MC,MC,physician,1,11,high,high_11
R_3OrererLvFDP7Cs,1,25,4,,6,,1,,wH11MC,MC,software engineer,0,11,high,high_11
R_1OPmdioEBICfb6k,2,48,4,,6,,1,,wH11MC,MC,waiter,0,11,high,high_11
R_3OrererLvFDP7Cs,1,25,4,,6,,1,,wH12MC,MC,cab driver,0,12,high,high_12
R_1I4amYkCBzEXegv,1,30,4,,3,,1,,wH12MC,MC,financial manager,1,12,high,high_12
R_22QYSgkwKl2fl2B,2,50,4,,6,,1,,wH12MC,MC,financial manager,1,12,high,high_12
R_330Wv4RTQVDYPFC,2,44,4,,5,,1,,wH12MC,MC,financial manager,1,12,high,high_12
R_3qegcuy6UJ8nn7T,1,33,4,,6,,1,,wH12MC,MC,financial manager,1,12,high,high_12
R_3MA8RWNHzL3Skqy,1,29,4,,6,,1,,wH12MC,MC,financial manager,1,12,high,high_12
R_21FlEWkbljN48cS,1,26,4,,3,,1,,wH12MC,MC,financial manager,1,12,high,high_12
R_bmFCI50SuIhFohH,1,35,4,,3,,1,,wH12MC,MC,financial manager,1,12,high,high_12
R_1FhXN1Erb9l6P8u,1,65,4,,6,,1,,wH12MC,MC,financial manager,1,12,high,high_12
R_29gBHO2g4hG0HEd,1,32,4,,6,,1,,wH12MC,MC,financial manager,1,12,high,high_12
R_2TObuo9SOHzKNMF,2,41,4,,6,,1,,wH12MC,MC,financial manager,1,12,high,high_12
R_vPSRIFSw60M5szL,2,25,4,,6,,1,,wH12MC,MC,financial manager,1,12,high,high_12
R_3k5MIEB1xR75maU,2,56,4,,6,,1,,wH12MC,MC,financial manager,1,12,high,high_12
R_24JkcCIbk2G9jJe,2,33,4,,6,,1,,wH12MC,MC,financial manager,1,12,high,high_12
R_2SGlMbZawCxjG04,1,32,4,,6,,1,,wH12MC,MC,financial manager,1,12,high,high_12
R_9B6zCkFCyP83uil,1,25,4,,6,,1,,wH12MC,MC,financial manager,1,12,high,high_12
R_rdqnfpc0MC9I8N3,1,25,4,,6,,1,,wH12MC,MC,financial manager,1,12,high,high_12
R_1IYLcXXIhudx5sM,2,48,4,,6,,1,,wH12MC,MC,financial manager,1,12,high,high_12
R_2PnVq30S0AywkYK,1,49,4,,6,,1,,wH12MC,MC,financial manager,1,12,high,high_12
R_3PjIIwqqsuOKBE7,1,28,4,,6,,1,,wH12MC,MC,financial manager,1,12,high,high_12
R_1GJlZIuaVFQJ5Mj,1,35,4,,6,,1,,wH12MC,MC,financial manager,1,12,high,high_12
R_22WawJARS0nVfyr,2,32,4,,6,,1,,wH12MC,MC,financial manager,1,12,high,high_12
R_1ms11OasKXUuqTI,1,1985,4,,6,,1,,wH12MC,MC,financial manager,1,12,high,high_12
R_3RjACkfy5Az1rcV,1,32,4,,6,,1,,wH12MC,MC,financial manager,1,12,high,high_12
R_31QVGMDRzBcPXFS,1,50,4,,6,,1,,wH12MC,MC,financial manager,1,12,high,high_12
R_6QKaWnBm4XfcegF,1,37,4,,6,,2,,wH12MC,MC,financial manager,1,12,high,high_12
R_1cZi4T6vXIU2IPq,1,Male,4,,6,,1,,wH12MC,MC,financial manager,1,12,high,high_12
R_1OPmdioEBICfb6k,2,48,4,,6,,1,,wH12MC,MC,financial manager,1,12,high,high_12
R_3NNSMB87MZknPcv,1,40,4,,6,,6,,wH12MC,MC,financial manager,1,12,high,high_12
R_2rOfnn7hg4YPne9,1,36,4,,6,,1,,wH12MC,MC,financial manager,1,12,high,high_12
R_1gthvjZB8aAJ9JG,,,,,,,,,wH12MC,MC,financial manager,1,12,high,high_12
R_Wl0refdNAU8Nlrr,1,30,4,,"3,6",,5,,wH12MC,MC,financial manager.,1,12,high,high_12
R_beIrWVOxdkZSdR7,1,32,4,,3,,4,,wH12MC,MC,manager,,12,high,high_12
R_1jIkAHIYfkaMOKV,1,48,4,,6,,4,,wH12MC,MC,manegar,,12,high,high_12
R_ROVd2iMM0raLd1T,1,27,4,,6,,1,,wH12MC,MC,pizza boy,0,12,high,high_12
R_bj6qHP0X02NRqTf,1,48,4,,6,,2,,wH12MC,MC,salemanser,0,12,high,high_12
R_3OrererLvFDP7Cs,1,25,4,,6,,1,,wH13MC,MC,army veteran,0,13,high,high_13
R_29gBHO2g4hG0HEd,1,32,4,,6,,1,,wH13MC,MC,bsiness executive,1,13,high,high_13
R_24JkcCIbk2G9jJe,2,33,4,,6,,1,,wH13MC,MC,business,1,13,high,high_13
R_3PjIIwqqsuOKBE7,1,28,4,,6,,1,,wH13MC,MC,business excuetive,1,13,high,high_13
R_1IYLcXXIhudx5sM,2,48,4,,6,,1,,wH13MC,MC,business excutive,1,13,high,high_13
R_2w6KqQ1n0Q3lk9c,,,,,,,,,wH13MC,MC,business exec,1,13,high,high_13
R_1I4amYkCBzEXegv,1,30,4,,3,,1,,wH13MC,MC,business executive,1,13,high,high_13
R_22QYSgkwKl2fl2B,2,50,4,,6,,1,,wH13MC,MC,business executive,1,13,high,high_13
R_330Wv4RTQVDYPFC,2,44,4,,5,,1,,wH13MC,MC,business executive,1,13,high,high_13
R_3qegcuy6UJ8nn7T,1,33,4,,6,,1,,wH13MC,MC,business executive,1,13,high,high_13
R_3MA8RWNHzL3Skqy,1,29,4,,6,,1,,wH13MC,MC,business executive,1,13,high,high_13
R_21FlEWkbljN48cS,1,26,4,,3,,1,,wH13MC,MC,business executive,1,13,high,high_13
R_1FhXN1Erb9l6P8u,1,65,4,,6,,1,,wH13MC,MC,business executive,1,13,high,high_13
R_2TObuo9SOHzKNMF,2,41,4,,6,,1,,wH13MC,MC,business executive,1,13,high,high_13
R_vPSRIFSw60M5szL,2,25,4,,6,,1,,wH13MC,MC,business executive,1,13,high,high_13
R_3k5MIEB1xR75maU,2,56,4,,6,,1,,wH13MC,MC,business executive,1,13,high,high_13
R_2SGlMbZawCxjG04,1,32,4,,6,,1,,wH13MC,MC,business executive,1,13,high,high_13
R_9B6zCkFCyP83uil,1,25,4,,6,,1,,wH13MC,MC,business executive,1,13,high,high_13
R_beIrWVOxdkZSdR7,1,32,4,,3,,4,,wH13MC,MC,business executive,1,13,high,high_13
R_rdqnfpc0MC9I8N3,1,25,4,,6,,1,,wH13MC,MC,business executive,1,13,high,high_13
R_2PnVq30S0AywkYK,1,49,4,,6,,1,,wH13MC,MC,business executive,1,13,high,high_13
R_1GJlZIuaVFQJ5Mj,1,35,4,,6,,1,,wH13MC,MC,business executive,1,13,high,high_13
R_22WawJARS0nVfyr,2,32,4,,6,,1,,wH13MC,MC,business executive,1,13,high,high_13
R_1ms11OasKXUuqTI,1,1985,4,,6,,1,,wH13MC,MC,business executive,1,13,high,high_13
R_3RjACkfy5Az1rcV,1,32,4,,6,,1,,wH13MC,MC,business executive,1,13,high,high_13
R_31QVGMDRzBcPXFS,1,50,4,,6,,1,,wH13MC,MC,business executive,1,13,high,high_13
R_6QKaWnBm4XfcegF,1,37,4,,6,,2,,wH13MC,MC,business executive,1,13,high,high_13
R_1cZi4T6vXIU2IPq,1,Male,4,,6,,1,,wH13MC,MC,business executive,1,13,high,high_13
R_1OPmdioEBICfb6k,2,48,4,,6,,1,,wH13MC,MC,business executive,1,13,high,high_13
R_3NNSMB87MZknPcv,1,40,4,,6,,6,,wH13MC,MC,business executive,1,13,high,high_13
R_2rOfnn7hg4YPne9,1,36,4,,6,,1,,wH13MC,MC,business executive,1,13,high,high_13
R_1FPyJMzGsyowG2O,,,,,,,,,wH13MC,MC,business executive,1,13,high,high_13
R_23f9gXYaZTstMPP,,,,,,,,,wH13MC,MC,business executive,1,13,high,high_13
R_1otjRKsteXhoyuk,,,,,,,,,wH13MC,MC,business executive,1,13,high,high_13
R_1jIkAHIYfkaMOKV,1,48,4,,6,,4,,wH13MC,MC,games,0,13,high,high_13
R_bj6qHP0X02NRqTf,1,48,4,,6,,2,,wH13MC,MC,manser,0,13,high,high_13
R_Wl0refdNAU8Nlrr,1,30,4,,"3,6",,5,,wH13MC,MC,prophet,0,13,high,high_13
R_bmFCI50SuIhFohH,1,35,4,,3,,1,,wH13MC,MC,software developer,0,13,high,high_13
R_ROVd2iMM0raLd1T,1,27,4,,6,,1,,wH13MC,MC,ticket checker,0,13,high,high_13
R_vPSRIFSw60M5szL,2,25,4,,6,,1,,wH14MC,MC,advocate,0,14,high,high_14
R_3OrererLvFDP7Cs,1,25,4,,6,,1,,wH14MC,MC,bus driver,0,14,high,high_14
R_bj6qHP0X02NRqTf,1,48,4,,6,,2,,wH14MC,MC,carpenter,0,14,high,high_14
R_ROVd2iMM0raLd1T,1,27,4,,6,,1,,wH14MC,MC,head master,0,14,high,high_14
R_1IYLcXXIhudx5sM,2,48,4,,6,,1,,wH14MC,MC,lawer,1,14,high,high_14
R_1I4amYkCBzEXegv,1,30,4,,3,,1,,wH14MC,MC,lawyer,1,14,high,high_14
R_22QYSgkwKl2fl2B,2,50,4,,6,,1,,wH14MC,MC,lawyer,1,14,high,high_14
R_330Wv4RTQVDYPFC,2,44,4,,5,,1,,wH14MC,MC,lawyer,1,14,high,high_14
R_3qegcuy6UJ8nn7T,1,33,4,,6,,1,,wH14MC,MC,lawyer,1,14,high,high_14
R_3MA8RWNHzL3Skqy,1,29,4,,6,,1,,wH14MC,MC,lawyer,1,14,high,high_14
R_21FlEWkbljN48cS,1,26,4,,3,,1,,wH14MC,MC,lawyer,1,14,high,high_14
R_1FhXN1Erb9l6P8u,1,65,4,,6,,1,,wH14MC,MC,lawyer,1,14,high,high_14
R_29gBHO2g4hG0HEd,1,32,4,,6,,1,,wH14MC,MC,lawyer,1,14,high,high_14
R_2TObuo9SOHzKNMF,2,41,4,,6,,1,,wH14MC,MC,lawyer,1,14,high,high_14
R_3k5MIEB1xR75maU,2,56,4,,6,,1,,wH14MC,MC,lawyer,1,14,high,high_14
R_24JkcCIbk2G9jJe,2,33,4,,6,,1,,wH14MC,MC,lawyer,1,14,high,high_14
R_2SGlMbZawCxjG04,1,32,4,,6,,1,,wH14MC,MC,lawyer,1,14,high,high_14
R_9B6zCkFCyP83uil,1,25,4,,6,,1,,wH14MC,MC,lawyer,1,14,high,high_14
R_beIrWVOxdkZSdR7,1,32,4,,3,,4,,wH14MC,MC,lawyer,1,14,high,high_14
R_rdqnfpc0MC9I8N3,1,25,4,,6,,1,,wH14MC,MC,lawyer,1,14,high,high_14
R_2PnVq30S0AywkYK,1,49,4,,6,,1,,wH14MC,MC,lawyer,1,14,high,high_14
R_3PjIIwqqsuOKBE7,1,28,4,,6,,1,,wH14MC,MC,lawyer,1,14,high,high_14
R_1GJlZIuaVFQJ5Mj,1,35,4,,6,,1,,wH14MC,MC,lawyer,1,14,high,high_14
R_22WawJARS0nVfyr,2,32,4,,6,,1,,wH14MC,MC,lawyer,1,14,high,high_14
R_1ms11OasKXUuqTI,1,1985,4,,6,,1,,wH14MC,MC,lawyer,1,14,high,high_14
R_3RjACkfy5Az1rcV,1,32,4,,6,,1,,wH14MC,MC,lawyer,1,14,high,high_14
R_31QVGMDRzBcPXFS,1,50,4,,6,,1,,wH14MC,MC,lawyer,1,14,high,high_14
R_6QKaWnBm4XfcegF,1,37,4,,6,,2,,wH14MC,MC,lawyer,1,14,high,high_14
R_1cZi4T6vXIU2IPq,1,Male,4,,6,,1,,wH14MC,MC,lawyer,1,14,high,high_14
R_Wl0refdNAU8Nlrr,1,30,4,,"3,6",,5,,wH14MC,MC,lawyer,1,14,high,high_14
R_1OPmdioEBICfb6k,2,48,4,,6,,1,,wH14MC,MC,lawyer,1,14,high,high_14
R_3NNSMB87MZknPcv,1,40,4,,6,,6,,wH14MC,MC,lawyer,1,14,high,high_14
R_2rOfnn7hg4YPne9,1,36,4,,6,,1,,wH14MC,MC,lawyer,1,14,high,high_14
R_1FPyJMzGsyowG2O,,,,,,,,,wH14MC,MC,lawyer,1,14,high,high_14
R_23f9gXYaZTstMPP,,,,,,,,,wH14MC,MC,lawyer,1,14,high,high_14
R_1gthvjZB8aAJ9JG,,,,,,,,,wH14MC,MC,lawyer,1,14,high,high_14
R_1otjRKsteXhoyuk,,,,,,,,,wH14MC,MC,lawyer,1,14,high,high_14
R_1jIkAHIYfkaMOKV,1,48,4,,6,,4,,wH14MC,MC,my collage name is joseph,0,14,high,high_14
R_bmFCI50SuIhFohH,1,35,4,,3,,1,,wH14MC,MC,waiter,0,14,high,high_14
R_ROVd2iMM0raLd1T,1,27,4,,6,,1,,wH15MC,MC,bus driver,0,15,high,high_15
R_1jIkAHIYfkaMOKV,1,48,4,,6,,4,,wH15MC,MC,cooking,0,15,high,high_15
R_3OrererLvFDP7Cs,1,25,4,,6,,1,,wH15MC,MC,driver,0,15,high,high_15
R_bj6qHP0X02NRqTf,1,48,4,,6,,2,,wH15MC,MC,salemanser,0,15,high,high_15
R_beIrWVOxdkZSdR7,1,32,4,,3,,4,,wH15MC,MC,software,1,15,high,high_15
R_22QYSgkwKl2fl2B,2,50,4,,6,,1,,wH15MC,MC,software developer,1,15,high,high_15
R_330Wv4RTQVDYPFC,2,44,4,,5,,1,,wH15MC,MC,software developer,1,15,high,high_15
R_3qegcuy6UJ8nn7T,1,33,4,,6,,1,,wH15MC,MC,software developer,1,15,high,high_15
R_3MA8RWNHzL3Skqy,1,29,4,,6,,1,,wH15MC,MC,software developer,1,15,high,high_15
R_bmFCI50SuIhFohH,1,35,4,,3,,1,,wH15MC,MC,software developer,1,15,high,high_15
R_1FhXN1Erb9l6P8u,1,65,4,,6,,1,,wH15MC,MC,software developer,1,15,high,high_15
R_29gBHO2g4hG0HEd,1,32,4,,6,,1,,wH15MC,MC,software developer,1,15,high,high_15
R_2TObuo9SOHzKNMF,2,41,4,,6,,1,,wH15MC,MC,software developer,1,15,high,high_15
R_vPSRIFSw60M5szL,2,25,4,,6,,1,,wH15MC,MC,software developer,1,15,high,high_15
R_3k5MIEB1xR75maU,2,56,4,,6,,1,,wH15MC,MC,software developer,1,15,high,high_15
R_24JkcCIbk2G9jJe,2,33,4,,6,,1,,wH15MC,MC,software developer,1,15,high,high_15
R_2SGlMbZawCxjG04,1,32,4,,6,,1,,wH15MC,MC,software developer,1,15,high,high_15
R_9B6zCkFCyP83uil,1,25,4,,6,,1,,wH15MC,MC,software developer,1,15,high,high_15
R_rdqnfpc0MC9I8N3,1,25,4,,6,,1,,wH15MC,MC,software developer,1,15,high,high_15
R_1IYLcXXIhudx5sM,2,48,4,,6,,1,,wH15MC,MC,software developer,1,15,high,high_15
R_2PnVq30S0AywkYK,1,49,4,,6,,1,,wH15MC,MC,software developer,1,15,high,high_15
R_3PjIIwqqsuOKBE7,1,28,4,,6,,1,,wH15MC,MC,software developer,1,15,high,high_15
R_1GJlZIuaVFQJ5Mj,1,35,4,,6,,1,,wH15MC,MC,software developer,1,15,high,high_15
R_22WawJARS0nVfyr,2,32,4,,6,,1,,wH15MC,MC,software developer,1,15,high,high_15
R_1ms11OasKXUuqTI,1,1985,4,,6,,1,,wH15MC,MC,software developer,1,15,high,high_15
R_3RjACkfy5Az1rcV,1,32,4,,6,,1,,wH15MC,MC,software developer,1,15,high,high_15
R_31QVGMDRzBcPXFS,1,50,4,,6,,1,,wH15MC,MC,software developer,1,15,high,high_15
R_6QKaWnBm4XfcegF,1,37,4,,6,,2,,wH15MC,MC,software developer,1,15,high,high_15
R_1cZi4T6vXIU2IPq,1,Male,4,,6,,1,,wH15MC,MC,software developer,1,15,high,high_15
R_Wl0refdNAU8Nlrr,1,30,4,,"3,6",,5,,wH15MC,MC,software developer,1,15,high,high_15
R_1OPmdioEBICfb6k,2,48,4,,6,,1,,wH15MC,MC,software developer,1,15,high,high_15
R_3NNSMB87MZknPcv,1,40,4,,6,,6,,wH15MC,MC,software developer,1,15,high,high_15
